,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ
123,1,1,296000,129900000,5,3,5,36,1,0,1,2,12,0
124,2,1,704000,45100000,3,3,5,37,0,0,2,2,3,0
127,1,1,656000,367800000,2,1,4,36,1,0,3,1,3,0
128,2,1,192000,460500000,5,2,3,29,1,0,1,2,5,0
129,2,1,472000,347100000,2,3,5,34,1,0,2,2,3,0
130,1,1,528000,267100000,5,3,5,45,1,1,2,2,5,0
131,2,2,632000,420200000,4,2,2,25,0,0,3,2,6,0
133,2,1,600000,173200000,3,1,3,32,0,1,2,3,9,0
134,2,1,416000,398800000,4,2,3,29,1,0,4,2,5,0
135,2,2,672000,465500000,3,2,2,28,1,0,4,3,10,0
136,2,1,424000,287400000,5,1,5,32,1,0,2,1,12,0
138,2,1,632000,508600000,2,3,5,40,0,1,1,2,12,0
139,1,2,336000,222900000,5,3,5,35,1,1,3,4,3,0
142,1,1,440000,211500000,3,1,5,45,1,0,4,4,15,0
143,2,1,168000,455800000,1,2,2,30,1,1,2,1,6,0
144,1,1,528000,385900000,2,1,4,40,1,0,3,4,8,0
145,2,1,104000,158500000,3,2,4,32,0,1,3,4,9,0
146,1,1,280000,456700000,5,3,5,36,1,0,4,2,12,0
147,2,1,240000,509000000,3,3,5,37,0,0,2,2,3,0
149,2,1,648000,375800000,3,2,4,31,1,1,4,4,12,0
150,1,1,208000,558200000,2,1,4,36,1,0,2,1,3,0
152,2,1,640000,345000000,2,3,5,34,1,0,1,2,3,0
153,1,1,688000,293300000,5,3,5,45,1,1,3,2,5,0
154,2,2,480000,133100000,4,2,2,25,0,0,2,2,6,0
156,2,1,368000,67900000,3,1,3,32,0,1,4,3,9,0
158,1,1,688000,292400000,3,1,3,36,1,0,4,4,6,0
159,2,1,144000,91000000,2,2,5,31,1,1,2,1,12,0
160,2,1,664000,26800000,2,1,3,32,0,0,1,4,8,0
161,1,1,440000,533600000,1,2,2,25,1,0,2,2,9,0
163,2,1,216000,249700000,2,3,5,40,0,1,2,2,12,0
164,2,1,744000,517500000,3,2,4,32,0,1,3,4,9,0
167,1,1,456000,355400000,5,1,3,31,1,0,4,4,15,0
168,2,1,600000,597600000,3,2,4,31,1,1,4,4,12,0
169,1,1,432000,388100000,2,1,4,36,1,0,2,1,3,0
170,2,1,424000,72600000,5,2,3,29,1,0,3,2,5,0
171,2,1,440000,563400000,2,3,5,34,1,0,1,2,3,0
172,1,1,264000,475300000,5,3,5,45,1,1,3,2,5,0
173,2,2,192000,317600000,4,2,2,25,0,0,2,2,6,0
174,1,2,416000,456900000,2,1,4,30,0,0,3,1,3,0
176,2,1,344000,214200000,4,2,3,29,1,0,2,2,5,0
177,1,1,504000,367700000,3,1,3,36,1,0,4,4,6,0
179,2,1,272000,182800000,2,1,3,32,0,0,1,4,8,0
180,1,1,128000,191900000,1,2,2,25,1,0,2,2,9,0
181,2,1,344000,508200000,3,1,4,35,1,1,1,1,6,0
183,1,2,312000,463600000,5,3,5,35,1,1,4,4,3,0
185,1,1,624000,472100000,3,1,4,29,1,0,3,4,12,0
186,1,1,240000,590400000,3,1,5,45,1,0,1,4,15,0
187,2,1,776000,327300000,1,2,2,30,1,1,2,1,6,0
188,1,1,384000,376200000,2,1,4,40,1,0,2,4,8,0
190,1,1,616000,221300000,5,3,5,36,1,0,4,2,12,0
191,2,1,616000,307500000,3,3,5,37,0,0,2,2,3,0
194,1,1,792000,222900000,2,1,4,36,1,0,2,1,3,0
195,2,1,440000,270100000,5,2,3,29,1,0,3,2,5,0
196,2,1,312000,597600000,2,3,5,34,1,0,1,2,3,0
197,1,1,192000,25500000,5,3,5,45,1,1,3,2,5,0
198,2,2,368000,384500000,4,2,2,25,0,0,2,2,6,0
199,1,2,144000,438300000,2,1,4,30,0,0,3,1,3,0
201,2,1,776000,176400000,4,2,3,29,1,0,2,2,5,0
202,2,2,752000,60000000,3,2,2,28,1,0,3,3,10,0
203,2,1,192000,438400000,5,1,5,32,1,0,3,1,12,0
206,1,2,576000,245500000,5,3,5,35,1,1,4,4,3,0
208,1,1,208000,329900000,3,1,4,29,1,0,3,4,12,0
209,1,1,704000,585300000,3,1,5,45,1,0,1,4,15,0
210,2,1,96000,555600000,1,2,2,30,1,1,2,1,6,0
211,1,1,728000,584200000,2,1,4,40,1,0,2,4,8,0
213,1,1,688000,160500000,5,3,5,36,1,0,4,2,12,0
214,2,1,640000,494200000,3,3,5,37,0,0,2,2,3,0
217,1,1,768000,56400000,2,1,4,36,1,0,2,1,3,0
218,2,1,416000,591100000,5,2,3,29,1,0,3,2,5,0
219,2,1,104000,117500000,2,3,5,34,1,0,1,2,3,0
220,1,1,496000,554600000,5,3,5,45,1,1,3,2,5,0
221,2,2,104000,88500000,4,2,2,25,0,0,2,2,6,0
222,1,2,408000,553500000,2,1,4,30,0,0,3,1,3,0
224,2,1,672000,217800000,4,2,3,29,1,0,2,2,5,0
225,1,1,424000,448500000,3,1,3,36,1,0,4,4,6,0
226,2,1,576000,362100000,2,2,5,31,1,1,2,1,12,0
227,2,1,224000,82100000,2,1,3,32,0,0,1,4,8,0
228,1,1,432000,500800000,1,2,2,25,1,0,2,2,9,0
229,2,1,504000,342700000,3,1,4,35,1,1,1,1,6,0
230,2,1,280000,362100000,2,3,5,40,0,1,2,2,12,0
231,1,2,384000,268600000,5,3,5,35,1,1,4,4,3,0
233,1,1,312000,396700000,3,1,4,29,1,0,3,4,12,0
234,1,1,592000,150400000,3,1,5,45,1,0,1,4,15,0
236,1,1,560000,516100000,2,1,4,40,1,0,2,4,8,0
237,2,1,648000,219700000,3,2,4,32,0,1,3,4,9,0
238,1,1,600000,588900000,5,3,5,36,1,0,4,2,12,0
240,1,1,168000,542500000,5,1,3,31,1,0,4,4,15,0
242,2,1,592000,461400000,2,3,5,40,0,1,2,2,12,0
243,1,2,776000,401800000,5,3,5,35,1,1,4,4,3,0
244,1,1,360000,345300000,1,2,1,25,0,1,2,2,5,0
245,1,1,104000,595000000,3,1,4,29,1,0,3,4,12,0
247,2,1,528000,326200000,1,2,2,30,1,1,2,1,6,0
248,1,1,120000,566100000,2,1,4,40,1,0,2,4,8,0
252,1,1,664000,522900000,5,1,3,31,1,0,4,4,15,0
254,1,1,136000,50000000,2,1,4,36,1,0,2,1,3,0
255,2,1,232000,511600000,5,2,3,29,1,0,3,4,5,0
256,2,1,704000,577400000,2,3,5,34,1,0,1,4,3,0
257,1,1,656000,183100000,5,3,5,45,1,1,3,2,5,0
259,1,2,776000,542700000,2,1,4,30,0,0,3,4,3,0
261,2,1,128000,346000000,4,2,3,29,1,0,2,1,5,0
262,1,1,528000,525800000,3,1,3,36,1,0,4,2,6,0
264,2,1,368000,586500000,2,1,3,32,0,0,1,2,8,0
265,1,1,680000,527900000,1,2,2,25,1,0,2,2,9,0
266,2,1,160000,283600000,3,1,4,35,1,1,1,1,6,0
268,1,2,696000,204200000,5,3,5,35,1,1,4,2,3,0
270,1,1,616000,448300000,3,1,4,29,1,0,3,1,12,0
271,1,1,560000,462600000,3,1,5,45,1,0,1,4,15,0
272,2,1,536000,355100000,1,2,2,30,1,1,2,2,6,0
273,1,1,408000,155600000,2,1,4,40,1,0,2,1,8,0
275,1,1,248000,376400000,5,3,5,36,1,0,4,4,12,0
276,2,1,368000,254900000,3,3,5,37,0,0,2,2,3,0
279,1,1,760000,358600000,2,1,4,36,1,0,2,1,3,0
280,2,1,120000,589200000,5,2,3,29,1,0,3,4,5,0
281,2,1,536000,338500000,2,3,5,34,1,0,1,4,3,0
282,1,1,408000,377300000,5,3,5,45,1,1,3,2,5,0
283,2,2,744000,369100000,4,2,2,25,0,0,2,2,6,0
284,1,2,280000,432200000,2,1,4,30,0,0,3,4,3,0
286,2,1,576000,295500000,4,2,3,29,1,0,2,2,5,0
287,2,2,128000,186100000,3,2,2,28,1,0,3,3,10,0
288,2,1,656000,548900000,5,1,5,32,1,0,3,1,12,0
291,1,2,312000,71400000,5,3,5,35,1,1,4,4,3,0
293,1,1,520000,165200000,3,1,4,29,1,0,1,4,12,0
294,1,1,544000,447000000,3,1,5,45,1,0,2,4,15,0
295,2,1,368000,110400000,1,2,2,30,1,1,1,1,6,0
296,1,1,296000,400600000,2,1,4,40,1,0,2,4,8,0
298,1,1,288000,429800000,5,3,5,36,1,0,2,2,12,0
299,2,1,192000,196100000,3,3,5,37,0,0,3,2,3,0
302,1,1,256000,558200000,2,1,4,36,1,0,2,1,3,0
303,2,1,288000,537900000,5,2,3,29,1,0,3,2,5,0
305,1,1,304000,307700000,5,3,5,45,1,1,2,2,5,0
306,2,2,352000,466900000,4,2,2,25,0,0,4,2,6,0
307,1,2,184000,144500000,2,1,4,30,0,0,4,1,3,0
308,2,1,192000,84400000,3,1,3,32,0,1,2,3,9,0
310,2,1,784000,370500000,2,1,3,32,0,0,1,4,8,0
311,1,1,576000,385500000,1,2,2,25,1,0,3,2,9,0
314,1,2,512000,368200000,5,3,5,35,1,1,4,4,3,0
315,1,1,552000,554600000,1,2,1,25,0,1,2,2,5,0
316,1,1,144000,258200000,3,1,4,29,1,0,3,4,12,0
317,1,1,272000,292000000,3,1,5,45,1,0,3,4,15,0
318,2,1,360000,102800000,1,2,2,30,1,1,3,1,6,0
319,1,1,112000,584600000,2,1,4,40,1,0,2,4,8,0
321,1,1,552000,104300000,5,3,5,36,1,0,2,2,12,0
322,2,1,744000,500300000,3,3,5,37,0,0,3,2,3,0
325,2,1,464000,23100000,2,3,5,40,0,1,2,2,12,0
326,1,2,496000,447200000,5,3,5,35,1,1,4,4,3,0
328,1,1,720000,122900000,3,1,4,29,1,0,3,4,12,0
330,2,1,528000,114100000,1,2,2,30,1,1,2,1,6,0
331,1,1,448000,33400000,2,1,4,40,1,0,2,4,8,0
332,2,1,96000,260000000,3,2,4,32,0,1,3,4,9,0
333,1,1,656000,285700000,5,3,5,36,1,0,4,2,12,0
335,1,1,704000,469100000,5,1,3,31,1,0,4,4,15,0
336,2,1,88000,489100000,3,2,4,31,1,1,4,4,12,0
339,2,1,384000,58500000,2,3,5,34,1,0,1,2,3,0
340,1,1,776000,568200000,5,3,5,45,1,1,3,2,5,0
341,2,2,448000,310100000,4,2,2,25,0,0,2,2,6,0
342,1,2,560000,178100000,2,1,4,30,0,0,3,1,3,0
343,2,1,704000,562600000,3,1,3,32,0,1,4,3,9,0
344,2,1,120000,458200000,4,2,3,29,1,0,2,2,5,0
345,1,1,552000,82600000,3,1,3,36,1,0,4,4,6,0
347,2,1,288000,562900000,2,1,3,32,0,0,1,4,8,0
348,1,1,168000,346200000,1,2,2,25,1,0,2,2,9,0
349,2,1,360000,248000000,3,1,4,35,1,1,1,1,6,0
351,1,2,304000,245600000,5,3,5,35,1,1,4,4,3,0
353,1,1,560000,270000000,3,1,4,29,1,0,3,4,12,0
354,1,1,592000,582200000,3,1,5,45,1,0,1,4,15,0
355,2,1,680000,306100000,1,2,2,30,1,1,2,1,6,0
356,1,1,608000,278800000,2,1,4,40,1,0,2,4,8,0
358,1,1,584000,437600000,5,3,5,36,1,0,4,2,12,0
359,2,1,408000,549600000,3,3,5,37,0,0,2,2,3,0
362,1,1,392000,447100000,2,1,4,36,1,0,2,1,3,0
363,2,1,256000,21200000,5,2,3,29,1,0,3,2,5,0
364,2,1,728000,234600000,2,3,5,34,1,0,1,2,3,0
365,1,1,312000,426100000,5,3,5,45,1,1,3,2,5,0
366,2,2,688000,96900000,4,2,2,25,0,0,2,2,6,0
367,1,2,776000,248100000,2,1,4,30,0,0,3,1,3,0
369,2,1,120000,33000000,4,2,3,29,1,0,2,2,5,0
370,2,2,624000,55100000,3,2,2,28,1,0,3,3,10,0
371,2,1,696000,314400000,5,1,5,32,1,0,3,1,12,0
374,1,2,400000,480000000,5,3,5,35,1,1,4,4,3,0
376,1,1,288000,216600000,3,1,4,29,1,0,3,4,12,0
377,1,1,672000,126600000,3,1,5,45,1,0,1,4,15,0
378,2,1,312000,420900000,1,2,2,30,1,1,2,1,6,0
379,1,1,648000,390000000,2,1,4,40,1,0,2,4,8,0
381,1,1,296000,549900000,5,3,5,36,1,0,4,2,12,0
382,2,1,784000,15900000,3,3,5,37,0,0,2,2,3,0
385,1,1,440000,475900000,2,1,4,36,1,0,2,1,3,0
386,2,1,136000,112500000,5,2,3,29,1,0,3,2,5,0
387,2,1,472000,229800000,2,3,5,34,1,0,1,2,3,0
388,1,1,608000,451000000,5,3,5,45,1,1,3,2,5,0
389,2,2,680000,226500000,4,2,2,25,0,0,2,2,6,0
390,1,2,256000,343500000,2,1,4,30,0,0,3,1,3,0
392,2,1,664000,479300000,4,2,3,29,1,0,2,2,5,0
393,1,1,560000,385300000,3,1,3,36,1,0,4,4,6,0
395,2,1,168000,84300000,2,1,3,32,0,0,1,4,8,0
396,1,1,416000,235100000,1,2,2,25,1,0,2,2,9,0
397,2,1,216000,206500000,3,1,4,35,1,1,1,1,6,0
400,1,1,200000,19100000,5,3,5,36,1,0,4,2,12,0
401,2,1,800000,233000000,3,3,5,37,0,0,2,2,3,0
403,2,1,200000,115100000,3,2,4,31,1,1,4,4,12,0
404,1,1,88000,67600000,2,1,4,36,1,0,2,1,3,0
405,2,1,232000,342300000,5,2,3,29,1,0,3,2,5,0
406,2,1,336000,382800000,2,3,5,34,1,0,1,2,3,0
407,1,1,104000,437500000,5,3,5,45,1,1,3,2,5,0
408,2,2,528000,384900000,4,2,2,25,0,0,2,2,6,0
410,2,1,656000,586000000,3,1,3,32,0,1,4,3,9,0
411,2,1,632000,25600000,4,2,3,29,1,0,2,2,5,0
413,2,1,592000,170100000,2,2,5,31,1,1,2,1,12,0
414,2,1,216000,163400000,2,1,3,32,0,0,1,4,8,0
415,1,1,264000,115200000,1,2,2,25,1,0,2,2,9,0
417,2,1,760000,401000000,2,3,5,40,0,1,2,2,12,0
419,1,1,160000,79100000,1,2,1,25,0,1,2,2,5,0
420,1,1,712000,369500000,3,1,4,29,1,0,3,4,12,0
421,1,1,624000,597900000,3,1,5,45,1,0,1,4,15,0
422,2,1,320000,69800000,1,2,2,30,1,1,2,1,6,0
424,2,1,208000,559200000,3,2,4,32,0,1,3,4,9,0
425,1,1,192000,477400000,5,3,5,36,1,0,4,2,12,0
429,1,1,600000,326200000,2,1,4,36,1,0,2,1,3,0
431,2,1,232000,403500000,2,3,5,34,1,0,1,2,3,0
432,1,1,728000,567300000,5,3,5,45,1,1,3,2,5,0
433,2,2,632000,167000000,4,2,2,25,0,0,2,2,6,0
434,1,2,640000,262300000,2,1,4,30,0,0,3,1,3,0
436,2,1,496000,339300000,4,2,3,29,1,0,2,2,5,0
437,2,2,168000,425800000,3,2,2,28,1,0,3,3,10,0
438,2,1,584000,410400000,5,1,5,32,1,0,3,1,12,0
441,1,2,184000,319000000,5,3,5,35,1,1,4,4,3,0
443,1,1,584000,284600000,3,1,4,29,1,0,3,4,12,0
444,1,1,344000,53500000,3,1,5,45,1,0,1,4,15,0
445,2,1,784000,162300000,1,2,2,30,1,1,2,1,6,0
446,1,1,320000,533700000,2,1,4,40,1,0,2,4,8,0
448,1,1,160000,382500000,5,3,5,36,1,0,4,2,12,0
449,2,1,400000,344400000,3,3,5,37,0,0,2,2,3,0
452,1,1,176000,49900000,2,1,4,36,1,0,2,1,3,0
453,2,1,728000,343000000,5,2,3,29,1,0,3,2,5,0
454,2,1,216000,76500000,2,3,5,34,1,0,1,2,3,0
455,1,1,448000,218300000,5,3,5,45,1,1,3,2,5,0
456,2,2,712000,26900000,4,2,2,25,0,0,2,2,6,0
457,1,2,408000,173400000,2,1,4,30,0,0,3,1,3,0
459,2,1,752000,507200000,4,2,3,29,1,0,2,3,5,0
460,1,1,792000,207700000,3,1,3,36,1,0,4,1,6,0
462,2,1,752000,250700000,2,1,3,32,0,0,1,2,8,0
463,1,1,632000,573700000,1,2,2,25,1,0,2,4,9,0
464,2,1,584000,159300000,3,1,4,35,1,1,1,2,6,0
466,1,2,448000,157600000,5,3,5,35,1,1,4,4,3,0
468,1,1,440000,547300000,3,1,4,29,1,0,3,4,12,0
469,1,1,544000,358200000,3,1,5,45,1,0,1,4,15,0
470,2,1,136000,551100000,1,2,2,30,1,1,2,2,6,0
471,1,1,568000,264300000,2,1,4,40,1,0,2,2,8,0
473,1,1,504000,64300000,5,3,5,36,1,0,4,4,12,0
474,2,1,672000,74000000,3,3,5,37,0,0,2,1,3,0
478,1,2,352000,212700000,5,3,5,35,1,1,4,2,3,0
480,1,1,416000,210400000,3,1,4,29,1,0,3,3,12,0
481,1,1,680000,425700000,3,1,5,45,1,0,1,2,15,0
482,2,1,528000,230200000,1,2,2,30,1,1,2,4,6,0
483,1,1,488000,314100000,2,1,4,40,1,0,2,1,8,0
485,1,1,376000,13900000,5,3,5,36,1,0,4,2,12,0
486,2,1,488000,135200000,3,3,5,37,0,0,2,1,3,0
489,1,1,656000,175000000,2,1,4,36,1,0,2,2,3,0
490,2,1,312000,187500000,5,2,3,29,1,0,3,4,5,0
491,2,1,672000,298100000,2,3,5,34,1,0,1,2,3,0
494,1,2,336000,115100000,2,1,4,30,0,0,3,1,3,0
495,2,1,296000,504300000,3,1,3,32,0,1,4,3,9,0
496,2,1,264000,160600000,4,2,3,29,1,0,2,2,5,0
497,1,1,216000,242200000,3,1,3,36,1,0,4,4,6,0
498,2,1,464000,258500000,2,2,5,31,1,1,2,1,12,0
499,2,1,264000,54200000,2,1,3,32,0,0,1,4,8,0
501,2,1,88000,241800000,3,1,4,35,1,1,1,1,6,0
503,1,2,416000,462700000,5,3,5,35,1,1,4,4,3,0
505,1,1,344000,345300000,3,1,4,29,1,0,3,4,12,0
506,1,1,456000,64900000,3,1,5,45,1,0,1,4,15,0
507,2,1,648000,553200000,1,2,2,30,1,1,2,1,6,0
508,1,1,680000,532400000,2,1,4,40,1,0,2,4,8,0
510,1,1,440000,573400000,5,3,5,36,1,0,4,2,12,0
511,2,1,776000,209000000,3,3,5,37,0,0,2,2,3,0
514,1,1,576000,219900000,2,1,4,36,1,0,2,1,3,0
515,2,1,480000,558600000,5,2,3,29,1,0,3,2,5,0
516,2,1,96000,392900000,2,3,5,34,1,0,1,2,3,0
517,1,1,464000,77100000,5,3,5,45,1,1,3,2,5,0
518,2,2,296000,150600000,4,2,2,25,0,0,2,2,6,0
519,1,2,712000,228200000,2,1,4,30,0,0,3,1,3,0
521,2,1,280000,134600000,4,2,3,29,1,0,2,2,5,0
522,2,2,696000,319300000,3,2,2,28,1,0,3,3,10,0
523,2,1,584000,267500000,5,1,5,32,1,0,3,1,12,0
526,1,2,400000,513900000,5,3,5,35,1,1,4,4,3,0
528,1,1,424000,398400000,3,1,4,29,1,0,3,4,12,0
529,1,1,272000,113900000,3,1,5,45,1,0,1,4,15,0
530,2,1,776000,427700000,1,2,2,30,1,1,2,1,6,0
531,1,1,784000,62800000,2,1,4,40,1,0,2,4,8,0
533,1,1,752000,394000000,5,3,5,36,1,0,4,2,12,0
534,2,1,432000,448300000,3,3,5,37,0,0,2,2,3,0
537,1,2,664000,450400000,2,1,4,30,0,0,3,1,3,0
539,2,1,368000,599000000,4,2,3,29,1,0,2,2,5,0
540,2,2,488000,256900000,3,2,2,28,1,0,3,3,10,0
541,2,1,104000,323400000,5,1,5,32,1,0,3,1,12,0
544,1,2,488000,66600000,5,3,5,35,1,1,4,4,3,0
545,1,1,200000,144200000,1,2,1,25,0,1,2,2,5,0
546,1,1,384000,86500000,3,1,4,29,1,0,3,4,12,0
547,1,1,296000,288100000,3,1,5,45,1,0,1,4,15,0
548,2,1,200000,173200000,1,2,2,30,1,1,2,1,6,0
549,1,1,520000,141700000,2,1,4,40,1,0,2,2,8,0
551,1,1,216000,444300000,5,3,5,36,1,0,4,4,12,0
552,2,1,128000,291700000,3,3,5,37,0,0,2,1,3,0
554,2,1,744000,405000000,3,2,4,31,1,1,4,4,12,0
555,1,1,216000,505300000,2,1,4,36,1,0,2,2,3,0
556,2,1,328000,597300000,5,2,3,29,1,0,3,2,5,0
558,1,1,720000,222400000,5,3,5,45,1,1,3,4,5,0
560,1,2,264000,197000000,2,1,4,30,0,0,3,2,3,0
561,2,1,320000,117100000,3,1,3,32,0,1,4,2,9,0
562,2,1,648000,569800000,4,2,3,29,1,0,2,2,5,0
563,1,1,136000,519400000,3,1,3,36,1,0,4,2,6,0
565,2,1,480000,501000000,2,1,3,32,0,0,1,3,8,0
566,1,1,776000,453300000,1,2,2,25,1,0,2,2,9,0
570,1,1,104000,290300000,5,3,5,36,1,0,4,2,12,0
572,1,1,568000,444900000,5,1,3,31,1,0,4,2,15,0
573,2,1,552000,90000000,3,2,4,31,1,1,4,4,12,0
574,1,1,368000,371200000,2,1,4,36,1,0,2,2,3,0
575,2,1,600000,323600000,5,2,3,29,1,0,3,4,5,0
577,1,1,632000,264000000,5,3,5,45,1,1,3,1,5,0
578,2,2,400000,347200000,4,2,2,25,0,0,2,4,6,0
580,2,1,96000,153200000,3,1,3,32,0,1,4,2,9,0
581,2,1,272000,45600000,4,2,3,29,1,0,2,2,5,0
584,2,1,120000,270000000,2,1,3,32,0,0,1,4,8,0
585,1,1,752000,450600000,5,2,2,25,1,0,2,2,9,0
586,2,1,328000,302300000,1,1,4,35,1,1,1,1,6,0
587,2,1,720000,233100000,3,3,5,40,0,1,2,2,12,0
588,1,2,464000,150100000,3,3,5,35,1,1,4,4,3,0
589,1,1,616000,274000000,1,2,1,25,0,1,2,2,5,0
590,1,1,344000,232100000,2,1,4,29,1,0,3,4,12,0
591,1,1,512000,538000000,3,1,5,45,1,0,1,4,15,0
593,1,1,760000,371200000,3,1,4,40,1,0,2,4,8,0
