ID khách hàng,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ,
522,2. nam,1. Việt Nam,280000,"134,600,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
523,2. nữ,2. Nước ngoài,696000,"319,300,000",3. mua xe,2. Độc thân,2. 2 năm,28,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,3. Trung học phổ thông,10,0. Trả nợ đúng hạn,
524,2. nữ,1. Việt Nam,584000,"267,500,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,32,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
525,1. nam,1. Việt Nam,128000,"216,800,000",3. mua xe,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
526,2. nữ,1. Việt Nam,152000,"389,400,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
527,1. nam,2. Nước ngoài,400000,"513,900,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
528,1. nam,1. Việt Nam,360000,"491,600,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
529,1. nam,1. Việt Nam,424000,"398,400,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
530,1. nam,1. Việt Nam,272000,"113,900,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
531,2. nữ,1. Việt Nam,776000,"427,700,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
532,1. nam,1. Việt Nam,784000,"62,800,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
533,2. nữ,1. Việt Nam,464000,"350,200,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
534,1. nam,1. Việt Nam,752000,"394,000,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
535,2. nữ,1. Việt Nam,432000,"448,300,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
536,1. nam,1. Việt Nam,328000,"18,500,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
537,2. nữ,1. Việt Nam,320000,"466,400,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
538,1. nam,2. Nước ngoài,664000,"450,400,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
539,2. nữ,1. Việt Nam,384000,"227,400,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
540,2. nam,1. Việt Nam,368000,"599,000,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
541,2. nữ,2. Nước ngoài,488000,"256,900,000",3. mua xe,2. Độc thân,2. 2 năm,28,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,3. Trung học phổ thông,10,0. Trả nợ đúng hạn,
542,2. nữ,1. Việt Nam,104000,"323,400,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,32,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
543,1. nam,1. Việt Nam,320000,"414,600,000",3. mua xe,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
544,2. nữ,1. Việt Nam,104000,"216,100,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
545,1. nam,2. Nước ngoài,488000,"66,600,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
546,1. nam,1. Việt Nam,200000,"144,200,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
547,1. nam,1. Việt Nam,384000,"86,500,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
548,1. nam,1. Việt Nam,296000,"288,100,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
549,2. nữ,1. Việt Nam,200000,"173,200,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
550,1. nam,1. Việt Nam,520000,"141,700,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,8,0. Trả nợ đúng hạn,
551,2. nữ,1. Việt Nam,488000,"390,100,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
552,1. nam,1. Việt Nam,216000,"444,300,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,12,0. Trả nợ đúng hạn,
553,2. nữ,1. Việt Nam,128000,"291,700,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
554,1. nam,1. Việt Nam,408000,"357,400,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
555,2. nữ,1. Việt Nam,744000,"405,000,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,0. Trả nợ đúng hạn,
556,1. nữ,1. Việt Nam,216000,"505,300,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
557,2. nam,1. Việt Nam,328000,"597,300,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
558,2. nam,1. Việt Nam,480000,"231,800,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,3,1. Không trả nợ đúng hạn,
559,1. nam,1. Việt Nam,720000,"222,400,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,5,0. Trả nợ đúng hạn,
560,2. nữ,2. Nước ngoài,432000,"62,800,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,6,1. Không trả nợ đúng hạn,
561,1. nam,2. Nước ngoài,264000,"197,000,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,3,0. Trả nợ đúng hạn,
562,2. nữ,1. Việt Nam,320000,"117,100,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,2. Đại học,9,0. Trả nợ đúng hạn,
563,2. nam,1. Việt Nam,648000,"569,800,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
564,1. nam,1. Việt Nam,136000,"519,400,000",3. mua xe,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,6,0. Trả nợ đúng hạn,
565,2. nữ,1. Việt Nam,232000,"278,600,000",2. mua nhà,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
566,2. nữ,1. Việt Nam,480000,"501,000,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,3. Trung học phổ thông,8,0. Trả nợ đúng hạn,
567,1. nam,1. Việt Nam,776000,"453,300,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
568,2. nữ,1. Việt Nam,416000,"593,800,000",3. mua xe,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,4. Khác,6,1. Không trả nợ đúng hạn,
569,2. nữ,1. Việt Nam,648000,"438,500,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
570,2. nữ,1. Việt Nam,232000,"419,100,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
571,1. nam,1. Việt Nam,104000,"290,300,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
572,2. nữ,1. Việt Nam,792000,"439,000,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,1. Không trả nợ đúng hạn,
573,1. nam,1. Việt Nam,568000,"444,900,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,15,0. Trả nợ đúng hạn,
574,2. nữ,1. Việt Nam,552000,"90,000,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,0. Trả nợ đúng hạn,
575,1. nữ,1. Việt Nam,368000,"371,200,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
576,2. nam,1. Việt Nam,600000,"323,600,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,5,0. Trả nợ đúng hạn,
577,2. nam,1. Việt Nam,200000,"480,700,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,3,1. Không trả nợ đúng hạn,
578,1. nam,1. Việt Nam,632000,"264,000,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,1. Cao học,5,0. Trả nợ đúng hạn,
579,2. nữ,2. Nước ngoài,400000,"347,200,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,6,0. Trả nợ đúng hạn,
580,1. nam,2. Nước ngoài,200000,"210,000,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,3,1. Không trả nợ đúng hạn,
581,2. nữ,1. Việt Nam,96000,"153,200,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,2. Đại học,9,0. Trả nợ đúng hạn,
582,2. nam,1. Việt Nam,272000,"45,600,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
583,1. nam,1. Việt Nam,256000,"538,900,000",3. mua xe,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,1. Không trả nợ đúng hạn,
584,2. nữ,1. Việt Nam,424000,"204,100,000",2. mua nhà,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
585,2. nữ,1. Việt Nam,120000,"270,000,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,8,0. Trả nợ đúng hạn,
586,1. nam,1. Việt Nam,752000,"450,600,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
587,2. nữ,1. Việt Nam,328000,"302,300,000",1. Tiêu dùng,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
588,2. nữ,1. Việt Nam,720000,"233,100,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,0. Trả nợ đúng hạn,
589,1. nam,2. Nước ngoài,464000,"150,100,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
590,1. nam,1. Việt Nam,616000,"274,000,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
591,1. nam,1. Việt Nam,344000,"232,100,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
592,1. nam,1. Việt Nam,512000,"538,000,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
593,2. nữ,1. Việt Nam,96000,"451,400,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,1. Không trả nợ đúng hạn,
594,1. nam,1. Việt Nam,760000,"371,200,000",3. mua xe,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
595,2. nữ,1. Việt Nam,392000,"406,500,000",5. đầu tư chứng khoán,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
596,1. nam,1. Việt Nam,264000,"32,100,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
597,2. nữ,1. Việt Nam,344000,"431,100,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
598,1. nam,1. Việt Nam,736000,"483,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
599,2. nữ,1. Việt Nam,800000,"91,400,000",2. mua nhà,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
600,1. nữ,1. Việt Nam,632000,"594,500,000",5. đầu tư chứng khoán,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
601,2. nam,1. Việt Nam,648000,"418,400,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
602,2. nam,1. Việt Nam,160000,"80,200,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
603,1. nam,1. Việt Nam,120000,"570,000,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
604,2. nữ,2. Nước ngoài,280000,"166,900,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
605,1. nam,2. Nước ngoài,408000,"517,000,000",3. mua xe,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
606,2. nữ,1. Việt Nam,120000,"390,900,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
607,2. nam,1. Việt Nam,504000,"28,400,000",2. mua nhà,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
608,2. nữ,2. Nước ngoài,184000,"541,300,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,28,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,3. Trung học phổ thông,10,0. Trả nợ đúng hạn,
609,2. nữ,1. Việt Nam,424000,"378,200,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,32,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
610,1. nam,1. Việt Nam,296000,"416,700,000",2. mua nhà,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
611,2. nữ,1. Việt Nam,112000,"436,400,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
612,1. nam,2. Nước ngoài,320000,"247,600,000",1. Tiêu dùng,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
613,1. nam,1. Việt Nam,496000,"595,700,000",3. mua xe,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
614,1. nam,1. Việt Nam,312000,"446,200,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
615,1. nam,1. Việt Nam,152000,"237,100,000",1. Tiêu dùng,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
616,2. nữ,1. Việt Nam,616000,"298,500,000",2. mua nhà,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
617,1. nam,1. Việt Nam,96000,"308,600,000",3. mua xe,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
618,2. nữ,1. Việt Nam,424000,"241,500,000",5. đầu tư chứng khoán,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
619,1. nam,1. Việt Nam,656000,"206,800,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
620,2. nữ,1. Việt Nam,416000,"454,300,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
621,1. nam,1. Việt Nam,632000,"558,200,000",3. mua xe,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
622,2. nữ,1. Việt Nam,328000,"301,500,000",2. mua nhà,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
623,1. nữ,1. Việt Nam,264000,"581,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
624,2. nam,1. Việt Nam,432000,"48,300,000",2. mua nhà,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
625,2. nam,1. Việt Nam,744000,"96,100,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
626,1. nam,1. Việt Nam,184000,"266,000,000",4. học tập,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
627,2. nữ,2. Nước ngoài,408000,"521,100,000",2. mua nhà,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
628,1. nam,2. Nước ngoài,544000,"546,000,000",3. mua xe,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
629,2. nữ,1. Việt Nam,104000,"35,200,000",4. học tập,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
630,2. nam,1. Việt Nam,88000,"566,200,000",3. mua xe,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
631,1. nam,1. Việt Nam,512000,"290,100,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
632,2. nữ,1. Việt Nam,160000,"161,100,000",3. mua xe,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
633,2. nữ,1. Việt Nam,264000,"389,600,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,8,0. Trả nợ đúng hạn,
634,1. nam,1. Việt Nam,360000,"208,200,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
635,2. nữ,1. Việt Nam,536000,"370,400,000",1. Tiêu dùng,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
636,2. nữ,1. Việt Nam,144000,"560,700,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
637,1. nam,2. Nước ngoài,496000,"573,300,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,4. Khác,3,0. Trả nợ đúng hạn,
638,1. nam,1. Việt Nam,128000,"168,200,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
639,1. nam,1. Việt Nam,176000,"205,100,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,12,0. Trả nợ đúng hạn,
